id,schema,userId,routeId,timestamp,nClicks,appType
69bd87dbe24dd546cd80ffe2,1,69bd7c47b6ffbf97beccf2cb,69bc9f4957adce41b32f5023,2026-03-20T17:45:58.703000+00:00,1,Kotlin
69bd8932e24dd546cd80fff3,1,69bd7c47b6ffbf97beccf2cb,69bc9f4657adce41b32f500c,2026-03-20T17:51:41.475000+00:00,3,Kotlin
69bd89aae24dd546cd80ffff,1,69bd7c47b6ffbf97beccf2cb,69bc9f4957adce41b32f5023,2026-03-20T17:53:41.762000+00:00,1,Kotlin
69bd89c5e24dd546cd81000b,1,69bd7c47b6ffbf97beccf2cb,69bc9f4657adce41b32f5012,2026-03-20T17:54:09.234000+00:00,3,Kotlin
69bd8a4d07e4f899ef85c56c,1,69bcb387094700f7b22a8a69,69bc9f4657adce41b32f500c,2026-03-20T17:56:29.161000+00:00,3,Kotlin
69bd8cb7a777d43c76536fde,1,69bcb387094700f7b22a8a69,69bc9f4657adce41b32f500c,2026-03-20T18:06:46.858000+00:00,3,Kotlin
69bd8ccba777d43c76536fe4,1,69bcb387094700f7b22a8a69,69bc9f4857adce41b32f501b,2026-03-20T18:07:07.093000+00:00,1,Kotlin
69bd8ccda777d43c76536fe6,1,69bcb387094700f7b22a8a69,69bc9f4857adce41b32f501b,2026-03-20T18:07:09.314000+00:00,1,Kotlin
69bd8d3fa777d43c76537001,1,69bcb387094700f7b22a8a69,69bc9f4657adce41b32f500c,2026-03-20T18:09:03.387000+00:00,5,Kotlin
69bd8f2fe24dd546cd810044,1,69bd7c47b6ffbf97beccf2cb,69bc9f4657adce41b32f5012,2026-03-20T18:17:15.317000+00:00,3,Kotlin
69bd9946e24dd546cd810084,1,69bd7c47b6ffbf97beccf2cb,69bc9f4957adce41b32f5023,2026-03-20T19:00:17.575000+00:00,1,Kotlin
69bde7db6f68e2757e214139,1,69bd6e79be85fc47af7cf20e,69bc9f4857adce41b32f501e,2026-03-21T00:34:12.720000+00:00,1,Kotlin
69bdeac76f68e2757e214147,1,69bd6e79be85fc47af7cf20e,69bc9f4957adce41b32f5021,2026-03-21T00:46:40.346000+00:00,1,Kotlin
69bdeca615287ff84f5ea7ab,1,69bd6e79be85fc47af7cf20e,69bc9f4657adce41b32f500c,2026-03-21T00:54:39.968000+00:00,3,Kotlin
69bdecc215287ff84f5ea7ba,1,69bd6e79be85fc47af7cf20e,69bc9f4657adce41b32f500c,2026-03-21T00:55:07.011000+00:00,3,Kotlin
