id,schema,userId,featureId,startTime,endTime,totalTime,downloadSpeed,uploadSpeed,appType
69bcb4ab2f4b2f6cf9d88371,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:44:43.534000+00:00,2026-03-20T02:44:54.850000+00:00,11,1896,844,Kotlin
69bcb4ab2f4b2f6cf9d88372,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:44:48.285000+00:00,2026-03-20T02:44:54.887000+00:00,6,2533,882,Kotlin
69bcb4ab2f4b2f6cf9d88373,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:44:50.953000+00:00,2026-03-20T02:44:55.305000+00:00,4,2949,908,Kotlin
69bcb4d5094700f7b22a8a6b,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:45:41.501000+00:00,2026-03-20T02:45:41.904000+00:00,0,30000,5792,Kotlin
69bcb4dd094700f7b22a8a70,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:45:49.339000+00:00,2026-03-20T02:45:49.720000+00:00,0,30000,5792,Kotlin
69bcb673094700f7b22a8a72,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:52:35.271000+00:00,2026-03-20T02:52:36.224000+00:00,0,30000,5792,Kotlin
69bcb6be094700f7b22a8a77,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4ffd,2026-03-20T02:53:50.601000+00:00,2026-03-20T02:53:50.987000+00:00,0,30000,5792,Kotlin
69bcb6f9094700f7b22a8a7d,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:54:49.544000+00:00,2026-03-20T02:54:49.890000+00:00,0,30000,5792,Kotlin
69bcb71b2f4b2f6cf9d88374,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4ffd,2026-03-20T02:54:46.969000+00:00,2026-03-20T02:55:16.987000+00:00,30,3013,912,Kotlin
69bcb71b2f4b2f6cf9d88375,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:54:47.941000+00:00,2026-03-20T02:55:17.984000+00:00,30,3013,912,Kotlin
69bcb72f2f4b2f6cf9d88377,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:55:39.574000+00:00,2026-03-20T02:55:40.520000+00:00,0,23290,18713,Kotlin
69bcb7362f4b2f6cf9d8837a,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4ffd,2026-03-20T02:55:47.861000+00:00,2026-03-20T02:55:48.221000+00:00,0,23290,18713,Kotlin
69bcb7682f4b2f6cf9d88382,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:56:37.303000+00:00,2026-03-20T02:56:37.601000+00:00,0,23290,18713,Kotlin
69bcb7702f4b2f6cf9d88384,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:56:45.054000+00:00,2026-03-20T02:56:45.635000+00:00,0,23290,18713,Kotlin
69bcb778094700f7b22a8a8d,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:56:56.765000+00:00,2026-03-20T02:56:57.111000+00:00,0,30000,5792,Kotlin
69bcb77f094700f7b22a8a8f,1,69bad2c678e8686ceac1f93d,69bc9f4357adce41b32f4ffc,2026-03-20T02:57:03.362000+00:00,2026-03-20T02:57:03.752000+00:00,0,30000,5792,Kotlin
69bcb7bf094700f7b22a8a92,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T02:58:07.459000+00:00,2026-03-20T02:58:07.862000+00:00,0,30000,5792,Kotlin
69bcb7c0094700f7b22a8a94,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4ffd,2026-03-20T02:58:08.717000+00:00,2026-03-20T02:58:09.102000+00:00,0,30000,5792,Kotlin
69bcb8082f4b2f6cf9d88387,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T02:59:17.426000+00:00,2026-03-20T02:59:18.020000+00:00,0,23606,12701,Kotlin
69bcb882094700f7b22a8a98,1,69bad2c678e8686ceac1f93d,69bc9f4457adce41b32f4fff,2026-03-20T03:01:22.903000+00:00,2026-03-20T03:01:23.278000+00:00,0,30000,5792,Kotlin
